visitNumber,visitId,visitStart,date,hits1,newVisits,timeOnSite,transactionRevenue,referralPath,browser,deviceCategory,isMobile,city,country,region,pageTitle,fullVisitorId,channelGrouping,socialEngagementType
18.0,1486890801.0,09:13:21,02/12/2017,1,0,0,0,/deal/-ds-sign-up-for-google-merchandise-store-emails-for-special-coup-c179,Chrome,desktop,false,not available in demo dataset,United States,North America,Google Online Store,6.83775E+18,Referral,Not Socially Engaged
1.0,1486908775.0,14:12:55,02/12/2017,1,1,0,0,,Safari,mobile,true,not available in demo dataset,Mexico,Central America,Google Online Store,9.80476E+18,Organic Search,Not Socially Engaged
1.0,1486910363.0,14:39:23,02/12/2017,1,1,0,0,,Safari,desktop,false,not available in demo dataset,Netherlands,EMEA,Google Online Store,9.22668E+18,Organic Search,Not Socially Engaged
1.0,1500749711.0,18:55:11,07/22/2017,1,1,0,0,/forum/,Chrome,desktop,false,not available in demo dataset,France,EMEA,Google Online Store,1.58865E+18,Referral,Not Socially Engaged
1.0,1500713803.0,08:56:43,07/22/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Taiwan,APAC,Google Online Store,5.84497E+18,Organic Search,Not Socially Engaged
1.0,1500785651.0,04:54:11,07/22/2017,1,1,0,0,,Chrome,desktop,false,New Delhi,India,APAC,Google Online Store,5.78702E+18,Organic Search,Not Socially Engaged
1.0,1500765601.0,23:20:01,07/22/2017,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,United States,North America,Google Online Store,1.09444E+17,Organic Search,Not Socially Engaged
1.0,1472939228.0,21:47:08,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,United Kingdom,EMEA,Google Online Store,9.59054E+17,Organic Search,Not Socially Engaged
1.0,1472922124.0,17:02:04,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,Hong Kong,,Google Online Store,5.31376E+18,Organic Search,Not Socially Engaged
1.0,1472929142.0,18:59:02,09/03/2016,1,1,0,0,,Chrome,mobile,true,not available in demo dataset,United States,North America,Google Online Store,9.11048E+17,Paid Search,Not Socially Engaged
1.0,1472897112.0,10:05:12,09/03/2016,1,1,0,0,,Chrome,desktop,false,(not set),Greece,,Google Online Store,5.65363E+18,Direct,Not Socially Engaged
1.0,1472944522.0,23:15:22,09/03/2016,1,1,0,0,,Chrome,desktop,false,not available in demo dataset,United States,North America,Google Online Store,1.49153E+16,Organic Search,Not Socially Engaged
1.0,1486891091.0,09:18:11,02/12/2017,1,1,0,0,,Firefox,desktop,false,(not set),India,APAC,Google Online Store,7.56487E+16,Organic Search,Not Socially Engaged
